publishing_body,tool_name,published,url
Health Research Authority,Proportionate Review Toolkit,2025-02-10T07:53:07Z,https://www.gov.uk/algorithmic-transparency-records/health-research-authority-proportionate-review-toolkit
Warwickshire County Council,Domestic EPC Estimates,2025-01-28T07:10:52Z,https://www.gov.uk/algorithmic-transparency-records/warwickshire-county-council-domestic-epc-estimates
Care Quality Commission,Fees Calculator Application,2026-03-30T09:18:48Z,https://www.gov.uk/algorithmic-transparency-records/care-quality-commission-fees-calculator-application
Standards and Testing Agency,Key stage 2 Test Administration form rules,2025-10-30T08:04:08Z,https://www.gov.uk/algorithmic-transparency-records/standards-and-testing-agency-key-stage-2-test-administration-form-rules
West Berkshire Council,Apply for a Larger Rubbish Bin,2025-01-28T07:11:46Z,https://www.gov.uk/algorithmic-transparency-records/west-berkshire-council-apply-for-a-larger-rubbish-bin
ICO,Registration Inbox AI,2024-02-21T13:51:48Z,https://www.gov.uk/algorithmic-transparency-records/information-commissioners-office-registration-inbox-ai
NHS England,NHS.UK Reviews Automoderation Tool,2024-07-23T14:30:14Z,https://www.gov.uk/algorithmic-transparency-records/nhs-england-nhs-dot-uk-reviews-automoderation-tool
Network Rail,Digital Assistant,2024-12-17T08:03:53Z,https://www.gov.uk/algorithmic-transparency-records/network-rail-digital-assistant
BDUK,Project Gigabit Voucher Eligibility Engine,2025-04-28T18:31:05Z,https://www.gov.uk/algorithmic-transparency-records/bduk-project-gigabit-voucher-eligibility-engine
Welsh Government,Mapping Ancient Woodland Image Segmentation Model,2025-07-04T10:25:42Z,https://www.gov.uk/algorithmic-transparency-records/welsh-government-mapping-ancient-woodland-image-segmentation-model
NICE,Priority Screening Algorithm,2025-02-27T08:01:26Z,https://www.gov.uk/algorithmic-transparency-records/nice-priority-screening-algorithm
Standards and Testing Agency,Colossyan AI for voiceovers and videos,2025-10-30T08:04:22Z,https://www.gov.uk/algorithmic-transparency-records/standards-and-testing-agency-colossyan-ai-for-voiceovers-and-videos
